county,state_name,Location,lat,lng,population
Berkeley,South Carolina,"Berkeley, South Carolina",33.1973,-79.9522,215044
Barnstable,Massachusetts,"Barnstable, Massachusetts",41.7242,-70.2915,213496
Shelby,Alabama,"Shelby, Alabama",33.2643,-86.6607,213432
Hays,Texas,"Hays, Texas",30.0581,-98.0311,213366
Baldwin,Alabama,"Baldwin, Alabama",30.7275,-87.7226,212830
Clay,Florida,"Clay, Florida",29.9831,-81.8579,211405
Niagara,New York,"Niagara, New York",43.2001,-78.7452,210820
Lackawanna,Pennsylvania,"Lackawanna, Pennsylvania",41.4368,-75.6092,210652
Champaign,Illinois,"Champaign, Illinois",40.1401,-88.1992,209922
Yuma,Arizona,"Yuma, Arizona",32.7695,-113.9056,209468
Mohave,Arizona,"Mohave, Arizona",35.7041,-113.758,207695
Tuscaloosa,Alabama,"Tuscaloosa, Alabama",33.2896,-87.5251,207305
Washington,Pennsylvania,"Washington, Pennsylvania",40.1894,-80.2482,207212
Cabarrus,North Carolina,"Cabarrus, North Carolina",35.3868,-80.5519,206615
Elkhart,Indiana,"Elkhart, Indiana",41.5974,-85.8587,204558
Harrison,Mississippi,"Harrison, Mississippi",30.5118,-89.1159,204502
York,Maine,"York, Maine",43.4782,-70.7144,204316
Clermont,Ohio,"Clermont, Ohio",39.0475,-84.1519,204275
Okaloosa,Florida,"Okaloosa, Florida",30.6913,-86.5917,203794
Richmond,Georgia,"Richmond, Georgia",33.3596,-82.0735,201852
Calcasieu,Louisiana,"Calcasieu, Louisiana",30.2292,-93.3579,201619
Delaware,Ohio,"Delaware, Ohio",40.2784,-83.0049,201135
Trumbull,Ohio,"Trumbull, Ohio",41.3172,-80.7611,200367
Montgomery,Tennessee,"Montgomery, Tennessee",36.4969,-87.3828,200180
St. Louis,Minnesota,"St. Louis, Minnesota",47.6032,-92.4706,199759
Hawaii,Hawaii,"Hawaii, Hawaii",19.5987,-155.5185,199459
Hall,Georgia,"Hall, Georgia",34.3169,-83.8197,198667
Anderson,South Carolina,"Anderson, South Carolina",34.5193,-82.6378,198064
Benton,Washington,"Benton, Washington",46.2398,-119.5112,197518
Johnston,North Carolina,"Johnston, North Carolina",35.5178,-78.3657,196870
Sangamon,Illinois,"Sangamon, Illinois",39.7582,-89.6589,196861
Muscogee,Georgia,"Muscogee, Georgia",32.51,-84.8771,195739
Racine,Wisconsin,"Racine, Wisconsin",42.7475,-88.0612,195602
Onslow,North Carolina,"Onslow, North Carolina",34.7321,-77.4321,195069
Broome,New York,"Broome, New York",42.1602,-75.8196,193188
Saginaw,Michigan,"Saginaw, Michigan",43.335,-84.0532,191821
Tippecanoe,Indiana,"Tippecanoe, Indiana",40.3886,-86.8941,191553
Livingston,Michigan,"Livingston, Michigan",42.6029,-83.9115,189754
Minnehaha,South Dakota,"Minnehaha, South Dakota",43.6742,-96.7915,188674
El Dorado,California,"El Dorado, California",38.7787,-120.5247,188563
Butler,Pennsylvania,"Butler, Pennsylvania",40.9118,-79.9133,186899
Hernando,Florida,"Hernando, Florida",28.5536,-82.425,186313
Deschutes,Oregon,"Deschutes, Oregon",43.9151,-121.2281,186251
Beaufort,South Carolina,"Beaufort, South Carolina",32.3855,-80.7302,186095
Outagamie,Wisconsin,"Outagamie, Wisconsin",44.4161,-88.4649,185700
Sumner,Tennessee,"Sumner, Tennessee",36.4694,-86.4604,183437
Kanawha,West Virginia,"Kanawha, West Virginia",38.3366,-81.5281,183279
Peoria,Illinois,"Peoria, Illinois",40.788,-89.76,182770
Bay,Florida,"Bay, Florida",30.2652,-85.6203,182161
Litchfield,Connecticut,"Litchfield, Connecticut",41.7925,-73.2453,182002
Vanderburgh,Indiana,"Vanderburgh, Indiana",38.025,-87.5858,181291
Sarpy,Nebraska,"Sarpy, Nebraska",41.1129,-96.112,181232
Charlotte,Florida,"Charlotte, Florida",26.9055,-81.9123,181067
Imperial,California,"Imperial, California",33.0395,-115.3654,180701
Newport News,Virginia,"Newport News, Virginia",37.1051,-76.5185,179673
Shasta,California,"Shasta, California",40.7637,-122.0405,179212
DeSoto,Mississippi,"DeSoto, Mississippi",34.8754,-89.9918,178975
Ulster,New York,"Ulster, New York",41.8881,-74.2586,178665
Pitt,North Carolina,"Pitt, North Carolina",35.5933,-77.3745,178433
Medina,Ohio,"Medina, Ohio",41.1176,-81.8997,177980
Shawnee,Kansas,"Shawnee, Kansas",39.0415,-95.7565,177852
Boone,Missouri,"Boone, Missouri",38.9906,-92.3097,177651
Cass,North Dakota,"Cass, North Dakota",46.933,-97.248,176975
Kent,Delaware,"Kent, Delaware",39.0862,-75.5684,176699
Iredell,North Carolina,"Iredell, North Carolina",35.807,-80.8734,175538
Santa Rosa,Florida,"Santa Rosa, Florida",30.7004,-87.022,174755
Ellis,Texas,"Ellis, Texas",32.3484,-96.7945,173772
Licking,Ohio,"Licking, Ohio",40.0916,-82.4831,173750
Muskegon,Michigan,"Muskegon, Michigan",43.2912,-86.152,173297
McLean,Illinois,"McLean, Illinois",40.4909,-88.8473,172578
Scott,Iowa,"Scott, Iowa",41.6371,-90.6232,172446
Winnebago,Wisconsin,"Winnebago, Wisconsin",44.0689,-88.6446,170411
